win,lose,probability
Cleveland Cavaliers,New York Knicks,0.915952444839626
Golden State Warriors,San Antonio Spurs,0.5690335597747608
Portland Trail Blazers,Utah Jazz,0.7348922992226515
Boston Celtics,Brooklyn Nets,0.897107818217745
Indiana Pacers,Dallas Mavericks,0.629134124349713
Houston Rockets,Los Angeles Lakers,0.7647289587970555
Memphis Grizzlies,Minnesota Timberwolves,0.6136169299753769
Charlotte Hornets,Milwaukee Bucks,0.7289857841192732
New Orleans Pelicans,Denver Nuggets,0.5178069244925045
Miami Heat,Orlando Magic,0.6398523332443949
Oklahoma City Thunder,Philadelphia 76ers,0.9505048940854617
Sacramento Kings,Phoenix Suns,0.5709497610440936
Toronto Raptors,Detroit Pistons,0.7256934925711522
Atlanta Hawks,Washington Wizards,0.6582741312886647
Boston Celtics,Chicago Bulls,0.5525162891067199
Portland Trail Blazers,Los Angeles Clippers,0.5806230008679587
San Antonio Spurs,Sacramento Kings,0.8740051358457145
Indiana Pacers,Brooklyn Nets,0.8106760724252062
Dallas Mavericks,Houston Rockets,0.5591607233686304
Detroit Pistons,Orlando Magic,0.6750359422349412
Miami Heat,Charlotte Hornets,0.5572035582977316
Golden State Warriors,New Orleans Pelicans,0.9215238418115672
Oklahoma City Thunder,Phoenix Suns,0.9301430129921766
Cleveland Cavaliers,Toronto Raptors,0.5695404824130098
Utah Jazz,Los Angeles Lakers,0.8852266111609715
Indiana Pacers,Chicago Bulls,0.5085065997097765
Charlotte Hornets,Boston Celtics,0.5402384597410771
Cleveland Cavaliers,Orlando Magic,0.8839720103206171
Portland Trail Blazers,Denver Nuggets,0.6774385866487256
Milwaukee Bucks,Brooklyn Nets,0.7334120543081942
New York Knicks,Memphis Grizzlies,0.5174710869907843
Atlanta Hawks,Philadelphia 76ers,0.899997449829378
Sacramento Kings,Minnesota Timberwolves,0.5848727015407561
San Antonio Spurs,New Orleans Pelicans,0.9241503143931858
Detroit Pistons,Milwaukee Bucks,0.7319759585894802
Houston Rockets,Dallas Mavericks,0.5877919664842628
Los Angeles Clippers,Utah Jazz,0.7063258392228624
Washington Wizards,Memphis Grizzlies,0.5349060726513696
San Antonio Spurs,Miami Heat,0.7175758904140849
Oklahoma City Thunder,Los Angeles Lakers,0.9540331436194598
Golden State Warriors,Phoenix Suns,0.943176455524808
Atlanta Hawks,Sacramento Kings,0.7688236348474283
Chicago Bulls,Brooklyn Nets,0.7193211518974045
Los Angeles Clippers,Phoenix Suns,0.8943799955933237
Toronto Raptors,Denver Nuggets,0.840029991962601
Cleveland Cavaliers,Houston Rockets,0.8171608991489095
Detroit Pistons,New York Knicks,0.7482007310958902
Indiana Pacers,Los Angeles Lakers,0.8972794307593684
Miami Heat,Sacramento Kings,0.7842927228086555
Memphis Grizzlies,Minnesota Timberwolves,0.5058763334833516
New Orleans Pelicans,Milwaukee Bucks,0.5578640139095336
Orlando Magic,Philadelphia 76ers,0.771576713659824
Golden State Warriors,Portland Trail Blazers,0.718953646821085
San Antonio Spurs,Utah Jazz,0.8420668404502274
Atlanta Hawks,Los Angeles Lakers,0.9120989734661523
Boston Celtics,Chicago Bulls,0.7035585670669443
Detroit Pistons,Brooklyn Nets,0.7781649064455721
Charlotte Hornets,Philadelphia 76ers,0.941364444915526
Oklahoma City Thunder,Los Angeles Clippers,0.5979741699149961
Memphis Grizzlies,New Orleans Pelicans,0.6610416559258023
Houston Rockets,New York Knicks,0.601763308149827
Portland Trail Blazers,Phoenix Suns,0.7622220934393239
Utah Jazz,Dallas Mavericks,0.599656259467067
Toronto Raptors,Washington Wizards,0.6571836125429537
Cleveland Cavaliers,Boston Celtics,0.7467183626057682
Golden State Warriors,Oklahoma City Thunder,0.6596849746063299
Indiana Pacers,Milwaukee Bucks,0.6905093750663058
Minnesota Timberwolves,Denver Nuggets,0.5348203735325678
Orlando Magic,Sacramento Kings,0.6024016812012474
Charlotte Hornets,Brooklyn Nets,0.8377240285946719
Chicago Bulls,New York Knicks,0.7496136599393167
Portland Trail Blazers,Dallas Mavericks,0.5016472681305233
Golden State Warriors,Los Angeles Lakers,0.9555333702291647
Los Angeles Clippers,Memphis Grizzlies,0.7011437939094167
New Orleans Pelicans,Phoenix Suns,0.6801167574403054
Toronto Raptors,Miami Heat,0.6586602529794287
San Antonio Spurs,Utah Jazz,0.7888989283145815
Atlanta Hawks,Washington Wizards,0.5709984326316471
Atlanta Hawks,Houston Rockets,0.6380366321568816
Detroit Pistons,Denver Nuggets,0.6991873501371577
Indiana Pacers,Chicago Bulls,0.6612237817293686
Milwaukee Bucks,Sacramento Kings,0.517881524061536
Oklahoma City Thunder,Minnesota Timberwolves,0.8755825182351443
Washington Wizards,Orlando Magic,0.5326001562045894
Cleveland Cavaliers,Philadelphia 76ers,0.954491680378116
San Antonio Spurs,Los Angeles Clippers,0.7269953171496828
Boston Celtics,Denver Nuggets,0.77486065647767
Dallas Mavericks,Milwaukee Bucks,0.7397636905072683
Los Angeles Lakers,Phoenix Suns,0.5374327139925943
Portland Trail Blazers,Memphis Grizzlies,0.6160834909208213
Utah Jazz,New York Knicks,0.5848462386811977
Toronto Raptors,Sacramento Kings,0.8385576275663881
Chicago Bulls,Orlando Magic,0.6766820122174351
Charlotte Hornets,Indiana Pacers,0.5837327475291206
Golden State Warriors,New Orleans Pelicans,0.940641199706216
Los Angeles Clippers,Detroit Pistons,0.6830150781156011
Oklahoma City Thunder,Miami Heat,0.7119176670527252
Utah Jazz,Philadelphia 76ers,0.8429684107801374
Washington Wizards,Houston Rockets,0.5400813641012884
Minnesota Timberwolves,Brooklyn Nets,0.6280885805440604
Cleveland Cavaliers,Atlanta Hawks,0.7408965068494279
Dallas Mavericks,Los Angeles Lakers,0.7398039571706096
Memphis Grizzlies,Denver Nuggets,0.6027968807543914
Portland Trail Blazers,Phoenix Suns,0.9070608819807618
Sacramento Kings,New Orleans Pelicans,0.6337195211117455
Atlanta Hawks,Chicago Bulls,0.6986620259379364
Charlotte Hornets,Utah Jazz,0.6564387013233707
Golden State Warriors,Dallas Mavericks,0.8808226343414158
Indiana Pacers,Philadelphia 76ers,0.9304300123380288
Los Angeles Clippers,Portland Trail Blazers,0.637179333668581
New York Knicks,Brooklyn Nets,0.7617789204771653
Oklahoma City Thunder,Toronto Raptors,0.6103193490292209
Orlando Magic,Minnesota Timberwolves,0.6158114691490487
Detroit Pistons,Phoenix Suns,0.7231980088497484
San Antonio Spurs,Houston Rockets,0.8325167287159931
Boston Celtics,Washington Wizards,0.5634985942506039
Golden State Warriors,Denver Nuggets,0.9157864279494676
Miami Heat,Chicago Bulls,0.7170984086804261
Milwaukee Bucks,New Orleans Pelicans,0.5825572214002394
Sacramento Kings,Los Angeles Lakers,0.8060179042702601
Boston Celtics,New York Knicks,0.814809858430019
Toronto Raptors,Charlotte Hornets,0.5582573409517781
Oklahoma City Thunder,Los Angeles Clippers,0.6538384424279737
Utah Jazz,Orlando Magic,0.5372379560794948
Indiana Pacers,Philadelphia 76ers,0.8797252037724439
Portland Trail Blazers,Sacramento Kings,0.8298123806166224
San Antonio Spurs,Detroit Pistons,0.8268899958413747
Cleveland Cavaliers,Washington Wizards,0.7562102769490251
Atlanta Hawks,Philadelphia 76ers,0.9407825446688258
Chicago Bulls,Washington Wizards,0.5729654710094494
Detroit Pistons,Denver Nuggets,0.6312318476997828
San Antonio Spurs,Houston Rockets,0.796974211228956
Boston Celtics,Indiana Pacers,0.5053430065821027
Miami Heat,Utah Jazz,0.6739597762958905
Memphis Grizzlies,Milwaukee Bucks,0.5201243536209903
Los Angeles Clippers,Minnesota Timberwolves,0.7559082159218029
New Orleans Pelicans,Los Angeles Lakers,0.7682040573246287
Phoenix Suns,Brooklyn Nets,0.6580732431379783
Toronto Raptors,New York Knicks,0.8703502622781404
Cleveland Cavaliers,Charlotte Hornets,0.7447904477675085
Golden State Warriors,Phoenix Suns,0.9606534276058996
Minnesota Timberwolves,Los Angeles Lakers,0.7801340036554051
Oklahoma City Thunder,Orlando Magic,0.8573507044726333
Portland Trail Blazers,Denver Nuggets,0.8313484613593234
Oklahoma City Thunder,Detroit Pistons,0.7323998050031462
Houston Rockets,Philadelphia 76ers,0.9183138335500803
Indiana Pacers,Orlando Magic,0.7166764756090989
Los Angeles Clippers,Brooklyn Nets,0.9155034208470006
Boston Celtics,New Orleans Pelicans,0.7291925587282236
Dallas Mavericks,New York Knicks,0.5692971887393163
San Antonio Spurs,Miami Heat,0.7769867903014118
Utah Jazz,Memphis Grizzlies,0.6798168287199147
Cleveland Cavaliers,Toronto Raptors,0.6650299185657119
Los Angeles Lakers,Brooklyn Nets,0.5978444485501767
Miami Heat,Atlanta Hawks,0.5521684295564979
Charlotte Hornets,Minnesota Timberwolves,0.7175717581144041
Portland Trail Blazers,Chicago Bulls,0.7726880494252808
Atlanta Hawks,Milwaukee Bucks,0.7979993372794506
Boston Celtics,Dallas Mavericks,0.6734988634987112
Denver Nuggets,Phoenix Suns,0.6965906661145147
Cleveland Cavaliers,Indiana Pacers,0.7105410056131463
Los Angeles Clippers,Memphis Grizzlies,0.784184191654997
Detroit Pistons,New York Knicks,0.6112674676547925
Oklahoma City Thunder,Houston Rockets,0.7790421943525422
Orlando Magic,New Orleans Pelicans,0.6631147187937678
Washington Wizards,Philadelphia 76ers,0.8404848778985446
San Antonio Spurs,Sacramento Kings,0.8740051358457145
Golden State Warriors,Toronto Raptors,0.7060010180626926
Portland Trail Blazers,Houston Rockets,0.5058332711805248
Miami Heat,Milwaukee Bucks,0.8119935498452698
Minnesota Timberwolves,Philadelphia 76ers,0.8445403231364977
Utah Jazz,Chicago Bulls,0.6328078718619458
Washington Wizards,New York Knicks,0.7411630671374584
Golden State Warriors,Boston Celtics,0.7855871306424876
Charlotte Hornets,Atlanta Hawks,0.5326410170139787
Cleveland Cavaliers,Detroit Pistons,0.8111353100935487
Dallas Mavericks,Memphis Grizzlies,0.6727142632046167
Toronto Raptors,Denver Nuggets,0.7873655833902434
Indiana Pacers,Phoenix Suns,0.8485746637031996
San Antonio Spurs,Los Angeles Lakers,0.9408821015020599
Portland Trail Blazers,New Orleans Pelicans,0.6939883624450056
Oklahoma City Thunder,Brooklyn Nets,0.9445574072957185
Los Angeles Clippers,Sacramento Kings,0.7256141361092737
Boston Celtics,Detroit Pistons,0.5543732717663674
Houston Rockets,Utah Jazz,0.5722725562512554
Los Angeles Clippers,Chicago Bulls,0.7467909973291939
Memphis Grizzlies,Minnesota Timberwolves,0.6136169299753769
Golden State Warriors,Milwaukee Bucks,0.920708957591597
Charlotte Hornets,New Orleans Pelicans,0.7311957773909725
Dallas Mavericks,Orlando Magic,0.5213650840167579
Phoenix Suns,Philadelphia 76ers,0.6039151737729457
Miami Heat,Washington Wizards,0.5485236219168856
Portland Trail Blazers,Brooklyn Nets,0.8114599288383653
Utah Jazz,Denver Nuggets,0.605291350187295
Chicago Bulls,Los Angeles Lakers,0.7119146614801
